Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
3,135,135,4,3,2,1400000000,1,3,2,2
3,70,70,2,1,1,500000000,1,0,2,1
3,42,84,2,1,2,500000000,1,3,2,2
2,162,220,5,3,2,2788000000,1,3,3,3
3,50,80,3,1,2,400000000,1,0,2,1
3,120,200,5,4,2,2100000000,1,1,2,2
1,360,500,5,5,2,10500000000,1,1,2,2
2,225,350,5,4,3,4750000000,1,3,0,2
3,34,50,2,2,2,825000000,1,3,4,2
3,200,180,4,3,1,3299000000,1,3,2,2
2,96,190,6,4,3,2200000000,1,2,2,2
3,480,300,4,3,2,19500000000,1,3,2,3
3,100,50,2,1,2,775000000,1,3,2,2
3,60,100,2,2,2,600000000,1,2,2,2
3,319,275,5,3,1,4900000000,1,2,2,2
1,330,750,8,8,4,6350000000,1,3,2,2
3,850,450,4,3,2,8500000000,1,3,2,3
3,240,300,4,3,2,4250000000,1,3,2,3
4,864,600,6,3,1,28500000000,1,2,2,3
3,75,75,4,2,2,900000000,1,1,2,3
2,343,601,7,4,3,12000000000,1,0,2,3
3,240,350,5,4,3,5750000000,1,3,2,2
2,600,800,5,3,2,16000000000,1,3,2,3
2,312,500,4,3,2,3990000000,1,3,2,3
2,479,600,8,7,2,8690000000,1,2,2,3
2,450,450,8,5,1,3980000000,1,2,2,3
3,631,631,8,5,1,9400000000,1,0,2,3
2,450,600,5,5,2,7350000000,1,3,2,3
2,349,450,4,4,2,3990000000,1,3,2,3
3,200,344,6,4,2,3000000000,1,1,2,2
3,187,180,2,1,1,1210000000,1,3,3,3
3,100,100,2,1,1,560000000,1,1,2,3
3,60,78,2,2,2,980000000,1,3,2,3
4,208,150,3,2,1,1880000000,1,3,2,2
2,150,240,5,5,2,3850000000,1,3,2,3
2,90,96,3,3,2,2000000000,1,3,2,3
2,320,445,6,4,2,8500000000,1,3,2,2
1,450,600,6,5,2,14500000000,1,3,4,3
3,250,250,4,2,1,4200000000,1,0,2,3
3,395,400,7,5,2,4800000000,1,3,2,3
2,100,120,4,4,2,1800000000,1,0,2,3
3,626,350,5,2,2,24000000000,1,3,2,2
4,140,140,4,1,1,900000000,1,1,3,2
4,292,222,3,1,1,3600000000,1,1,2,3
3,500,432,5,4,2,20000000000,1,3,2,3
2,200,169,5,4,2,1850000000,1,1,2,2
4,86,62,3,2,1,1500000000,1,0,2,3
1,972,440,6,5,1,20000000000,1,1,2,3
3,942,635,8,3,1,25000000000,1,3,3,3
4,160,180,3,2,2,1250000000,1,1,2,2
4,420,300,4,2,1,10500000000,1,2,2,3
2,144,220,5,3,2,2600000000,1,3,2,2
3,66,180,4,3,3,2000000000,1,1,2,2
3,128,170,4,4,2,2800000000,1,3,2,3
2,105,160,4,5,2,2100000000,1,1,2,2
2,105,89,3,2,2,1860000000,1,3,2,3
2,210,325,6,5,2,4250000000,1,1,2,3
2,180,295,5,4,2,3750000000,1,3,2,3
2,436,659,9,5,2,6500000000,1,3,2,3
3,190,260,4,4,2,3900000000,1,3,2,2
3,127,120,5,3,2,1985000000,1,1,2,3
2,120,95,3,2,1,1500000000,1,3,2,3
3,280,222,3,1,1,3500000000,1,2,2,3
2,67,100,3,3,2,1200000000,1,2,2,3
2,96,135,4,4,2,1850000000,1,2,2,3
2,60,72,3,2,2,1080000000,1,3,2,2
2,92,150,4,3,2,2200000000,1,1,3,3
3,240,320,9,5,2,2500000000,1,1,2,2
1,240,425,6,6,2,6100000000,1,3,2,2
1,1000,1000,5,5,3,35000000000,1,2,2,3
2,123,200,5,5,2,3100000000,1,1,2,2
3,87,55,2,1,2,725000000,1,3,2,2
1,580,1100,6,8,2,19000000000,1,3,3,2
2,165,242,4,3,2,3500000000,1,3,2,2
3,180,130,4,3,1,2600000000,1,1,2,2
3,55,56,2,2,2,1150000000,1,2,2,2
2,188,188,5,7,2,3300000000,1,3,2,3
2,210,400,4,4,2,3800000000,1,3,3,3
3,77,42,2,1,1,550000000,1,1,2,2
2,112,150,3,3,2,2450000000,1,1,2,2
2,132,180,5,4,2,2400000000,1,3,2,3
2,210,325,6,5,2,4250000000,1,1,2,3
2,352,300,5,3,1,4200000000,1,0,2,3
3,300,280,6,5,2,3800000000,1,3,2,2
2,320,283,4,5,2,6400000000,1,3,2,3
2,240,274,5,4,2,4700000000,1,1,2,3
3,84,120,4,4,2,1600000000,1,3,2,3
2,594,1100,6,6,3,12500000000,1,2,2,3
2,82,110,3,3,2,1400000000,1,2,2,3
2,150,250,5,4,2,3100000000,1,1,2,3
1,450,650,8,5,2,13900000000,1,3,0,3
3,136,200,5,2,2,3000000000,1,1,3,3
2,120,150,5,4,2,1690000000,1,1,2,3
3,225,140,4,4,1,2500000000,1,1,2,3
3,42,85,3,2,2,850000000,1,3,2,2
1,300,500,5,3,2,7511111111,1,1,2,3
1,678,528,7,8,2,11500000000,1,2,2,3
3,96,120,3,2,2,1700000000,1,3,2,3
1,450,650,7,5,3,15000000000,1,3,2,3
4,91,90,2,2,1,700000000,1,1,2,1
2,180,150,3,2,2,2300000000,1,0,2,3
3,216,246,4,2,2,1850000000,1,3,2,2
3,47,34,2,1,1,450000000,1,3,2,3
1,300,212,4,4,1,5250000000,1,1,2,2
2,102,156,4,2,2,1950000000,1,1,2,2
3,98,170,4,3,2,1550000000,1,3,2,3
4,193,300,5,2,2,5000000000,1,3,2,3
