,ID,Area Category,Rank Area Category,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Km Mandi,Tingkat/Lantai,Harga rata2 Komunitas,Harga Dipasarkan (dari Owner),Harga Terjual,Terjual/Belum,Encode Terjual/Belum,Status Kepemilikan,Rank Status Kepemilikan,Arah Hadap Rumah,Rank Arah Hadap Rumah,Posisi Rumah,Rank Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Pemilik Butuh Uang (Urgent),Encode Butuh Uang,Umur Bangunan,Siap Huni (Y/N),Furnish  (Y/N),Encode Furnish,Listed Berapa Lama,Encode Listed,Fasilitas Publik
54,,2,2,72.0,54.0,2,1,1.0,1000.0,1100.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
55,,2,2,105.0,90.0,3,2,2.0,1300.0,1600.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
56,,2,2,200.0,198.0,5,4,2.0,3000.0,3100.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
57,,3,3,150.0,170.0,4,4,2.0,2500.0,2300.0,2000.0,1,1,3,5,2,2,5,6,3,1,1.0,2.0,1,0,0,1,8.0,1
58,,2,2,100.0,100.0,4,3,2.0,1000.0,1500.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,1,1,1,8.0,2
59,,3,3,72.0,84.0,3,2,2.0,1500.0,1800.0,1400.0,1,1,3,5,3,3,5,6,3,1,1.0,1.0,1,1,1,1,8.0,1
60,,2,2,60.0,77.0,2,2,2.0,1100.0,1200.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,0
61,,2,2,69.0,77.0,2,2,2.0,1100.0,1200.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,0,0,1,8.0,0
62,,2,2,102.0,93.0,4,3,2.0,1500.0,1450.0,1250.0,1,1,4,4,2,2,5,6,3,1,1.0,1.0,1,0,0,1,8.0,0
63,,2,2,105.0,80.0,3,1,1.0,700.0,775.0,700.0,1,1,4,4,3,3,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
64,,2,2,148.5,148.5,3,3,2.0,1500.0,1750.0,1500.0,1,1,3,5,2,2,5,6,3,0,0.0,2.0,1,0,0,1,8.0,2
65,,2,2,187.0,240.0,4,4,2.0,2750.0,3100.0,0.0,0,0,3,5,4,4,4,4,3,0,0.0,2.0,1,1,1,1,8.0,2
66,,2,2,105.0,90.0,3,2,2.0,1000.0,1200.0,0.0,0,0,3,5,2,2,5,6,2,0,0.0,1.0,1,0,0,1,8.0,1
67,,3,3,264.0,350.0,7,4,2.0,4000.0,4300.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,2.0,1,1,1,1,8.0,1
68,,3,3,128.0,125.0,4,4,2.0,3750.0,4950.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,1.0,1,1,1,1,8.0,1
69,,2,2,119.0,149.0,3,1,1.0,1750.0,1700.0,1600.0,1,1,3,5,2,2,5,6,3,1,1.0,1.0,1,0,0,1,8.0,1
70,,3,3,240.0,330.0,5,4,2.0,3500.0,3700.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,0,0,1,8.0,2
71,,2,2,175.0,115.0,4,4,2.0,1800.0,1750.0,1500.0,1,1,3,5,3,3,5,6,2,1,1.0,1.0,1,0,0,1,8.0,2
72,,2,2,162.0,120.0,4,3,1.0,2000.0,2000.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,2.0,1,0,0,1,8.0,1
73,,2,2,200.0,280.0,5,5,2.0,3000.0,3250.0,0.0,1,1,2,3,3,3,5,6,3,0,0.0,2.0,1,1,1,1,8.0,2
74,,2,2,105.0,140.0,4,3,2.0,1500.0,1950.0,0.0,0,0,4,4,2,2,5,6,3,0,0.0,2.0,1,1,1,1,8.0,0
75,,3,3,72.0,60.0,1,2,2.0,1200.0,1275.0,0.0,0,0,4,4,3,3,5,6,3,0,0.0,1.0,1,1,1,1,8.0,2
76,,2,2,120.0,100.0,3,2,2.0,1800.0,2000.0,0.0,0,0,3,5,2,2,5,6,3,0,0.0,1.0,1,1,1,1,8.0,2
